Name,Goals,Shots,Shooting accuracy %,Assists,Passes per match,Big Chances Created,Through balls,Accurate long balls,Tackle success %,Duels won
Paul Pogba,28,350,35%,36,60.72,27,77,680,68%,"1,042"
Ilkay Gündogan,30,199,30%,8,57.86,17,47,282,59%,375
